id,cost
360336,93.77305
360337,92.135124
360338,91.630135
360339,96.75853
360340,76.567245
360341,98.77087
360342,107.785934
360343,94.80222
360344,89.923485
360345,97.6148
360346,102.8822
360347,97.76511
360348,91.983986
360349,95.122444
360350,85.62751
360351,87.91971
360352,100.28415
360353,88.21705
360354,99.06645
360355,103.36002
360356,104.49376
360357,105.4662
360358,83.38382
360359,77.0217
360360,79.38093
360361,84.45744
360362,107.82423
360363,91.52009
360364,93.05323
360365,94.38537
360366,86.86302
360367,105.36918
360368,94.25175
360369,92.24964
360370,98.21565
360371,99.2367
360372,72.758484
360373,108.449646
360374,105.330894
360375,91.37016
360376,101.28278
360377,102.76853
360378,102.02514
360379,99.234406
360380,98.31264
360381,101.27844
360382,99.26156
360383,92.56713
360384,89.85653
360385,100.49015
360386,92.91475
360387,91.29378
360388,104.52083
360389,105.449
360390,97.91621
360391,90.05504
360392,89.807884
360393,92.03934
360394,95.59229
360395,94.2905
360396,103.13494
360397,94.71031
360398,84.158585
360399,89.3131
360400,101.701904
360401,98.97317
360402,106.920364
360403,86.17058
360404,89.89739
360405,106.36331
360406,98.24901
360407,89.43756
360408,91.94174
360409,81.375244
360410,100.47979
360411,100.11887
360412,92.25992
360413,93.75335
360414,97.323685
360415,97.55472
360416,114.606995
360417,90.36444
360418,90.78411
360419,97.55251
360420,90.33883
360421,95.96323
360422,97.71609
360423,90.92782
360424,98.400185
360425,106.383125
360426,95.22503
360427,89.728424
360428,88.67957
360429,108.01457
360430,86.44297
360431,104.81044
360432,100.80738
360433,101.2329
360434,95.679985
360435,97.6346
360436,92.368
360437,89.81772
360438,92.55749
360439,80.98248
360440,91.536804
360441,72.38738
360442,100.109375
360443,95.99018
360444,102.191765
360445,94.455666
360446,87.576935
360447,92.817444
360448,93.4944
360449,77.19429
360450,94.95314
360451,106.001816
360452,90.5387
360453,114.24555
360454,124.105255
360455,95.10186
360456,89.927086
360457,99.69146
360458,95.422165
360459,95.56963
360460,97.118034
360461,79.39093
360462,89.207054
360463,83.38052
360464,95.04071
360465,96.308334
360466,86.35283
360467,86.29237
360468,116.77443
360469,96.29697
360470,84.49042
360471,92.745224
360472,104.50855
360473,115.98446
360474,96.10768
360475,96.39524
360476,78.21855
360477,131.6224
360478,94.29468
360479,92.93782
360480,91.976006
360481,94.24275
360482,103.35416
360483,104.84678
360484,94.7167
360485,112.27288
360486,110.39652
360487,102.22597
360488,105.18026
360489,105.36847
360490,102.563835
360491,104.247765
360492,91.47686
360493,106.557465
360494,83.6128
360495,97.72645
360496,89.14432
360497,91.14888
360498,111.63178
360499,97.11906
360500,92.662834
360501,94.443016
360502,100.3543
360503,77.885254
360504,95.68967
360505,90.5483
360506,99.81469
360507,94.00304
360508,103.92041
360509,92.73289
360510,72.45155
360511,83.02723
360512,90.62263
360513,94.73911
360514,111.83918
360515,94.77664
360516,123.16975
360517,89.29988
360518,91.62885
360519,96.01641
360520,93.56125
360521,100.71999
360522,91.15095
360523,83.10668
360524,98.7721
360525,100.284485
360526,91.41832
360527,99.40183
360528,99.168045
360529,94.48968
360530,105.493065
360531,101.92114
360532,78.78229
360533,91.9273
360534,95.113914
360535,123.16146
360536,97.25807
360537,106.61743
360538,83.62454
360539,98.584785
360540,97.29036
360541,114.079544
360542,97.31923
360543,108.90375
360544,100.148674
360545,90.05325
360546,93.679504
360547,104.22243
360548,91.95171
360549,88.18132
360550,91.94374
360551,90.11606
360552,103.6024
360553,99.81849
360554,101.16536
360555,105.5182
360556,98.95486
360557,90.02217
360558,100.975685
360559,99.71456
360560,79.937386
360561,102.86596
360562,87.60173
360563,94.6333
360564,107.350815
360565,100.3341
360566,95.946396
360567,99.60925
360568,94.04966
360569,105.834854
360570,97.53527
360571,94.69397
360572,108.02377
360573,109.82232
360574,106.83652
360575,90.315094
360576,95.424324
360577,86.93327
360578,102.88825
360579,97.93427
360580,80.63825
360581,94.17556
360582,103.20751
360583,93.53663
360584,90.977936
360585,75.99258
360586,94.163536
360587,76.554375
360588,92.27846
360589,83.41046
360590,90.15669
360591,104.73424
360592,104.55742
360593,90.207344
360594,98.282234
360595,118.87779
360596,91.61777
360597,103.24345
360598,93.13238
360599,99.48277
360600,99.527245
360601,98.02371
360602,97.83808
360603,97.76704
360604,101.455826
360605,91.41537
360606,89.96681
360607,105.15181
360608,96.34756
360609,77.90158
360610,95.079
360611,91.75394
360612,93.005974
360613,95.67081
360614,83.91627
360615,109.428116
360616,93.94887
360617,103.97906
360618,100.28261
360619,89.48907
360620,99.2389
360621,91.98922
360622,97.29078
360623,94.71884
360624,100.33517
360625,90.72544
360626,94.60782
360627,90.50762
360628,98.4146
360629,92.93101
360630,111.97264
360631,91.21631
360632,95.63422
360633,96.27702
360634,104.22458
360635,100.33265
360636,87.573975
360637,76.68199
360638,102.71912
360639,104.02823
360640,96.39245
360641,99.90516
360642,102.11017
360643,84.09603
360644,92.28633
360645,96.55922
360646,102.71986
360647,93.9591
360648,96.4698
360649,89.614624
360650,93.7023
360651,92.480255
360652,98.162964
360653,107.16761
360654,75.34582
360655,102.14749
360656,96.79797
360657,98.47003
360658,83.96337
360659,101.927086
360660,95.42069
360661,88.929955
360662,93.44922
360663,87.054535
360664,99.43684
360665,113.75881
360666,95.518074
360667,94.821045
360668,95.3682
360669,101.58307
360670,104.42261
360671,112.71882
360672,100.63175
360673,95.81811
360674,90.1208
360675,97.503746
360676,102.872
360677,101.017365
360678,90.02664
360679,96.11055
360680,86.471245
360681,98.78281
360682,91.12639
360683,105.542175
360684,93.370125
360685,76.68936
360686,110.86644
360687,92.98764
360688,100.39321
360689,104.97066
360690,95.37854
360691,104.40099
360692,103.065346
360693,97.645744
360694,87.91611
360695,91.669365
360696,86.31914
360697,89.845566
360698,104.388885
360699,115.914085
360700,95.73905
360701,93.86171
360702,98.12892
360703,104.62196
360704,79.75196
360705,100.31202
360706,101.52537
360707,91.950966
360708,94.14325
360709,89.386475
360710,106.215256
360711,102.61432
360712,96.62172
360713,94.37973
360714,97.14265
360715,108.47721
360716,98.68503
360717,77.09245
360718,117.296005
360719,110.86089
360720,109.40358
360721,94.731445
360722,96.92658
360723,91.43176
360724,88.98147
360725,94.26387
360726,99.3867
360727,104.35868
360728,81.20208
360729,91.99835
360730,108.940285
360731,109.80578
360732,99.75107
360733,91.0711
360734,92.942924
360735,99.77134
360736,96.2998
360737,90.37341
360738,89.77685
360739,113.28722
360740,90.470276
360741,82.29008
360742,92.4885
360743,92.65913
360744,100.430305
360745,76.981865
360746,104.199844
360747,96.7363
360748,95.92906
360749,80.790764
360750,72.350266
360751,97.58969
360752,74.59033
360753,99.107445
360754,86.84647
360755,93.01413
360756,99.00821
360757,82.65746
360758,103.4341
360759,95.261604
360760,94.45353
360761,98.25455
360762,78.58115
360763,104.09867
360764,105.42235
360765,111.75264
360766,91.62576
360767,111.78581
360768,88.96796
360769,85.582664
360770,90.75786
360771,103.264275
360772,95.57433
360773,79.490814
360774,125.445915
360775,99.2431
360776,80.67988
360777,88.30426
360778,104.27035
360779,95.49152
360780,90.27753
360781,91.261215
360782,99.976395
360783,98.46571
360784,92.81333
360785,94.88883
360786,99.58891
360787,97.7417
360788,102.146355
360789,94.72181
360790,71.245964
360791,89.02799
360792,101.96984
360793,100.465225
360794,85.610245
360795,103.543564
360796,107.42436
360797,85.44583
360798,105.892334
360799,94.61219
360800,86.618484
360801,93.46521
360802,106.97684
360803,88.29916
360804,94.32153
360805,106.940956
360806,99.08296
360807,93.68108
360808,92.02474
360809,97.973625
360810,84.34155
360811,92.22968
360812,98.80051
360813,83.67956
360814,88.82118
360815,78.1581
360816,89.576225
360817,99.850945
360818,82.0465
360819,95.31638
360820,99.188484
360821,76.32805
360822,103.60993
360823,89.61683
360824,101.79196
360825,93.52838
360826,98.34602
360827,120.73673
360828,83.09357
360829,102.62796
360830,89.898865
360831,91.61539
360832,98.25421
360833,101.99808
360834,94.263054
360835,94.57422
360836,93.91062
360837,89.55273
360838,88.85152
360839,99.330185
360840,93.06758
360841,91.43053
360842,95.626564
360843,90.57528
360844,104.47585
360845,85.15345
360846,95.03164
360847,100.53386
360848,83.916794
360849,79.45026
360850,114.835495
360851,95.29369
360852,94.755775
360853,96.285515
360854,62.715176
360855,76.76486
360856,82.51071
360857,101.98339
360858,94.27291
360859,92.097916
360860,85.03009
360861,94.93415
360862,84.23963
360863,96.28064
360864,83.62902
360865,83.67306
360866,102.705864
360867,89.54215
360868,91.570656
360869,87.35487
360870,100.343285
360871,90.9262
360872,91.02944
360873,92.81503
360874,98.656746
360875,98.45703
360876,91.00378
360877,97.63271
360878,80.766624
360879,89.97952
360880,76.82388
360881,92.75918
360882,93.3326
360883,101.778336
360884,106.24619
360885,87.87101
360886,105.12833
360887,82.049034
360888,89.51565
360889,96.75447
360890,85.17601
360891,102.98573
360892,93.7491
360893,92.604744
360894,93.0548
360895,99.3089
360896,78.286385
360897,102.154175
360898,109.49185
360899,99.72316
360900,90.761795
360901,79.20867
360902,92.87669
360903,95.19447
360904,91.66327
360905,108.95816
360906,90.13044
360907,85.20186
360908,94.06099
360909,97.07481
360910,111.88955
360911,76.29749
360912,85.71782
360913,98.8124
360914,91.94321
360915,90.6585
360916,93.606125
360917,99.18428
360918,89.79304
360919,107.4483
360920,83.96025
360921,87.05457
360922,97.67054
360923,97.26252
360924,97.53419
360925,89.683395
360926,96.27647
360927,94.51203
360928,97.620255
360929,99.92431
360930,77.18471
360931,90.63386
360932,107.45389
360933,96.9109
360934,103.450134
360935,91.526306
360936,78.86595
360937,90.86402
360938,95.51683
360939,93.95621
360940,91.8369
360941,95.06998
360942,89.68962
360943,93.545334
360944,88.6131
360945,87.36554
360946,92.9841
